actual_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,METEOR,CIDEr
Alepocephalus bicolor,0.9131919460799552,0.8623671071568433,0.8198532238301848,0.7823397061596914,0.8984477124183007,0.5598743720981886,0.0
Apistus carinatus,0.904312025029892,0.8655509376745945,0.8362426492199841,0.8107571512654359,0.8631578947368421,0.5509628895431494,0.0
Brachypterois serrulata,0.8063812494751977,0.7049301090539773,0.617869333169518,0.5459561147236974,0.6984587554007871,0.39643786362503824,0.0
Chlorophthalmus acutifrons,0.9425160407592175,0.891430282155758,0.8556709823181211,0.8246648224638218,0.9365558508997841,0.5332542412792953,0.0
Choridactylus multibarbus,0.8617487627179603,0.830603771679558,0.7926936599345055,0.756144835406359,0.8764044943820225,0.5408772857089342,0.0
Coryphaenoides sp,0.9041666666666667,0.8702037721383346,0.8351541832945455,0.7986526055371873,0.8975210970464135,0.5471422160329131,0.0
Cubiceps baxteri,0.9313510315464043,0.8594671918854048,0.7991864057569444,0.7471021638941944,0.8740420347243375,0.5226857784891432,0.0
Dactyloptena orientalis,0.8423608310681303,0.7733292737589934,0.7160184824588313,0.668136433154885,0.8056590688563594,0.4993253780389269,0.0
Dactyloptena papilio,0.881667466758193,0.8243658778221116,0.7742553141086492,0.7319809815103009,0.8608237769046373,0.540908885209658,0.0
Dactyloptena tiltoni,0.8883381643010987,0.8412555935467413,0.802079257826006,0.770251935558604,0.8489665856670264,0.5342883878133897,0.0
Ectreposbastes imus,0.942979879834704,0.9051599986450625,0.8769175068218946,0.8520659277389032,0.9155796634350116,0.5748964022234008,0.0
Grammoplites suppositus,0.8620692344340061,0.7829113559108309,0.7209618302052738,0.6714963734474401,0.7948194363028435,0.4919014239503346,0.0
Hoplostethus sp,0.9994419642857143,0.999151425160438,0.9988526531535967,0.9985451886138922,0.9991071428571429,0.989805678299047,0.0
Lepidotrigla spiloptera,0.7870528283575333,0.7284942086657106,0.689237445838149,0.6616738793674869,0.7813861386138613,0.4722974389780677,0.0
Minous dempsterae,0.8505255316634424,0.7858328062482394,0.7352214620570644,0.695979563192013,0.7946766849049974,0.4994094850461506,0.0
Minous inermis,0.88112479215447,0.8117195237470882,0.7575682044394311,0.7194315380197437,0.8055258020656394,0.4994433885934785,0.0
Minous trachycephalus,0.8441561641978028,0.7917791133149951,0.7423181986258597,0.7091966480401644,0.8099809980998101,0.48880735740740644,0.0
Neomerinthe erostris,0.8840824980359864,0.8223003094052235,0.7753600348297157,0.739940078804663,0.8334236920574681,0.5271943849032041,0.0
Parascombrops pellucidus,0.8494015205779911,0.7771081709195451,0.7314232440293301,0.6967266899018989,0.8147495585000382,0.5126889587462671,0.0
Platycephalus indicus,0.8479991775854281,0.7710079718478196,0.7045496849675317,0.6477524014539306,0.7865168539325843,0.46826186814023196,0.0
Polymixia fusca,0.7983358659083826,0.7228500226903174,0.6713060929517232,0.627170050131742,0.7940826711275116,0.44712726291478105,0.0
Psenopsis sp,0.8301873726846157,0.7374709229439774,0.670936064706964,0.6144548510841978,0.6871186860475921,0.42398015290342594,0.0
Pterygotrigla arabica,0.8700260254625168,0.8031975327031614,0.7481338972308752,0.7058364465371371,0.8219509655542232,0.5155729489577756,0.0
Pterygotrigla hemisticta,0.8404326510739648,0.7957523245776548,0.7597391201188285,0.7297791265507397,0.8716091759862588,0.5698450566648284,0.0
Pterygotrigla macrorhynchus,0.8411611249307029,0.7687009487054223,0.7101948533520559,0.6598751938968702,0.805591636683403,0.4831245344835873,0.0
Satyrichthys laticeps,0.7918002676655234,0.7427162027677573,0.7025310416975191,0.668908122868221,0.7896336338526309,0.46797798996919265,0.0
Setarches guentheri,0.9105843524803685,0.848891923354501,0.8055767017807178,0.767314079309268,0.900164707073594,0.5669312270776172,0.0
Sorsogona tuberculata,0.9329811567228904,0.8900461796665433,0.854775950733658,0.8224343721080611,0.9204602177159322,0.5747219861054726,0.0
Synagrops japonicus,0.9098700827894542,0.8625728656191184,0.8255329834399918,0.792338010196264,0.901810333854698,0.5338722077491039,0.0
Uranoscopus sp,0.9593825640229239,0.9289093269827933,0.9101266638185864,0.8938851177471149,0.9274029064332456,0.6192219220966746,0.0
